EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
KLA CORP,K1LA34,Semicondutores,EUA
KOHLS CORP,K1SS34,Roupas e Caláados,EUA
KOPHILIPS,PHGN34,Tecnologia,Holanda
KROGER CO,K1RC34,Supermercados,EUA
KT CORP,K1TC34,Comunicaá?o,Coreia
L BRANDS,LBRN34,Consumo,EUA
L3HARRIS TECHNOLOGIES INC,L1HX34,Tecnologia,EUA
LABORATORY CORP OF AMERICA HOLDINGS,L1CA34,Laborat¢rios cl°nicos,EUA
LAM RESEARCH CORP,L1RC34,Semicondutores,EUA
LAMB WESTON HOLDINGS INC,L1WH34,Alimentos,EUA
LAS VEGAS SANDS CORPORATION,L1VS34,Hotelaria,EUA
LEGGETT & PLATT INC,L1EG34,Industria diversificada,EUA
LEIDOS HOLDINGS INC,L1DO34,Tecnologia,EUA
LENNAR CORP,L1EN34,Construá?o,EUA
LIBERTY BROA,LBRD34,Comunicaá?oˇ,EUA
LIBERTY GLOB,L1BT34,Telecomunicaá?es,EUA
LIBERTY GLOBAL PLC,L1BT35,Comunicaá?o,Reino Unido
LIBERTY MEDI,LSXM34,Comunicaá?oˇ,EUA
LIBERTY MEDIA CORPORATION,LSXM35,Comunicaá?o,EUA
LILLY,LILY34,Farmacàuticos,EUA
LINCOLN NATIONAL CORP,L1NC34,Holding,EUA
LINDE PLC,L1IN34,Qu°micos,EUA
LIVE NATION ENTERTAINMENT INC,L1YV34,Teatro,EUA
LKQ CORP,L1KQ34,Peáas Automotivas,EUA
LLOYDS BANKING GROUP PLC,L1YG34,Financeiro,Reino Unido
LOEWS CORP,L1OE34,Holding,EUA
LOWE?S COMPA,LOWC34,ComÇrcio ? Construá?oˇ,EUA
LULULEMON ATHLETICA INC,L1UL34,Varejista de roupasˇ,EUA
LUMEN TECHNOLOGIES INC,L1MN34,Tecnologia,EUA
LYONDELLBASELL INDUSTRIES NV,L1YB34,Qu°micos,EUA
M&T BANK CORP,M1TB34,Instituiá?o Financeira,EUA
MACY S,MACY34,"Tecidos, Vestu†rio e Caláados",EUA
MARATHON OIL,M1RO34,"Petr¢leo, G†s e Biocombust°veis",EUA
MARATHON PET,M1PC34,"Petr¢leo, G†s e Biocombust°veis",EUA
MARKEL CORP,MKLC34,Serviáos Financeirosˇ,EUA
MARKETAXESS HOLDINGS INC,M1KT34,Financeiro,EUA
MARRIOTT INTERNATIONAL INC,M1TT34,HotÇis,EUA
MARSH & MCLENNAN COS INC,M1MC34,Serviáos,EUA
MARTIN MARIETTA MATERIALS INC,M1LM34,Construá?o,EUA
MASCO CORP,M1AS34,Construá?o,EUA
MATCH GROUP INC,M1TC34,Comunicaá?o,EUA
MAXIM INTEGRATED PRODUCTS INC,M1XI34,Semicondutores,EUA
MCCORMICK & CO INC,M1KC34,Alimentos,EUA
MCDONALDS,MCDC34,Restaurantes & Bares,EUA
MCKESSON CORP,M1CK34,Sa£de,EUA
MEDTRONIC,MDTC34,Medicamentos e Outros Produtos,EUA
MELCO RESORTS & ENTERTAINMENT LTD,M1LC34,Hotelaria,Hong Kong
MERCADO LIVRE,MELI34,Comunicaá?o,Argentina
MERCK,MRCK34,Farmacàuticos,EUA
METTLER-TOLEDO INTERNATIONAL INC,M1TD34,Instrumentos para laborat¢rios,EUA
MGM RESORTSˇ,M1GM34,H¢teis,EUA
MICROCHIP TE,M1CH34,Tecnologia,EUA
MICRON TECHN,MUTC34,Tecnologia,EUA
MICROSOFT,MSFT34,Semicondutor amplo,EUA
MID-AMERICA APARTMENT COMMUNITIES INC,M1AA34,Fundo de investimento imobili†rio,EUA
MITSUBISHI UFJ FINANCIAL GROUP INC,M1UF34,Financeiro,Japan
MOBILE TELESYSTEMS PJSC,M1BT34,Comunicaá?o,Russian Federation
MODERNA INC,M1RN34,Farmacàutico,EUA
MOHAWK INDUSTRIES INC,M1HK34,Tecnologia,EUA
MOLSON COORS BREWING CO,M1CB34,Bebidas,EUA
MONDELEZ INTˇ,MDLZ34,Consumo,EUA
MONGODB INC,M1DB34,Tecnologia,EUA
MONSTER BEVERAGE CORP,M1NS34,Bebidas,EUA
MOODY?S CORP,MCOR34,Serviáos Financeirosˇ,EUA
MOSAIC CO,MOSC34,Materiais B†sicosˇ,EUA
MOTOROLA SOLUTIONS INC,M1SI34,Construá?o,EUA
MSCI INC,M1SC34,Serviáos Financeirosˇ,EUA
NASDAQ INC,N1DA34,Serviáos Financeirosˇ,EUA
NATIONAL GRID PLC,N1GG34,Utilidades,Reino Unido
NATIONAL OILWELL VARCO INC,N1OV34,"Petr¢leo, G†s e Biocombust°veis",EUA
NATWEST GROUP PLC,N1WG34,Financeiro,Reino Unido
NETAPP INC,N1TA34,Tecnologia,EUA
NETEASE,NETE34,Tecnologia,China
NETFLIX,NFLX34,Lojas de M£sica e V°deo,EUA
NEUROCRINE BIOSCIENCES INC,N1BI34,Farmacàutico,EUA
NEW ORIENTAL EDU & TECH GROUP INC,E1DU34,Escolas,China
NEWELL BRAND,N1WL34,Bens de consumo,EUA
NEWMONT GOLD,N1EM34,Mineraá?o,EUA
NEWS CORP,N1WS34,Comunicaá?o,EUA
NEWS CORPORATION,N1WS35,Publicidade,EUA
NEXTERA ENER,NEXT34,Energiaˇ,EUA
NICE LTD,N1IC34,Comunicaá?o,Israel
NIELSEN HOLDINGS PLC,N1LS34,Serviáos de informaá?o,EUA
NISOURCE INC,N1IS34,Energia,EUA
NOKIA CORP,NOKI34,Tecnologia,FinlÉndia
NOMURA HO,NMRH34,Instituiá?o Financeira,Jap?o
NORDSTROM IN,J1WN34,Roupas e Caláados,EUA
NORFOLK SOUTHERN CORP,N1SC34,Ferrovi†rio,EUA
NORTHERN TRUST CORP,N1TR34,Serviáos Financeirosˇ,EUA
NORTHROP GRU,NOCG34,Industrial,EUA
NORWEGIAN CR,N1CL34,Serviáos ? Viagens,EUA
NOVARTIS AG,N1VS34,Farmacàutico,Switzerland
NOVO NORDISK A/S,N1VO34,Farmacàutico,Denmark
NRG ENERGY I,N1RG34,Energia,EUA
NUCOR CORP,N1UE34,Aáo e Metalurgia,EUA
NVIDIA CORP,NVDC34,Tecnologia,EUA
NVR INC,N1VR34,Construá?o,EUA
NXP SEMICOND,N1XP34,Semicondutores,EUA
OCCIDENT PTR,OXYP34,Energiaˇ,EUA
OKTA INC,O1KT34,Comunicaá?o,EUA
OLD DOMINION FREIGHT LINE INC,O1DF34,Transportadora,EUA
OMNICOM GROUP INC,O1MC34,Comunicaá?o,EUA
ONEOK INC,O1KE34,"Petr¢leo, G†s e Biocombust°veis",EUA
O?REILLY AUT,ORLY34,ComÇrcio ? Auto peáas,EUA
ORIX CORP,I1XC34,Financeiro,Japan
OTIS WORLDWIDE CORPORATION,O1TI34,Maquinario Industrial,EUA
PACCAR INC,P1AC34,Peáas Automotivas,EUA
PACKAGING CORP OF AMERICA,P1KG34,Embalagens,EUA
PAGSEGURO,PAGS34,Meios de pagamentos,Brasil
PARKER-HANNIFIN CORP,P1HC34,ˇEngenharia mecÉnica,EUA
PAYCHEX INC,P1AY34,Serviáos,EUA
PAYCOM SOFTWARE INC,P1YC34,Tecnologia,EUA
PAYPAL HOLD,PYPL34,Serviáos Financeirosˇ,EUA
PENTAIR PLC,P1NR34,Tratamento de †gua,EUA
PEOPLES UNITED FINANCIAL INC,P1BC34,Serviáos Financeirosˇ,EUA
PERKINELMER INC,P1KI34,Biotecnologia,EUA
PERRIGO CO PLC,P1RG34,Farmacàuticos,EUA
PETROCHIN,PTCH34,"Petr¢leo, G†s e Biocombust°veis",China
PFIZER,PFIZ34,Farmacàuticos,EUA
PG,PGCO34,Produtos domÇstiscos n?o-dur†veis,EUA
PHILIP MORRIS,PHMO34,ComÇrcio ? Tabacoˇ,EUA
PHILLIPS 66,P1SX34,Energia,EUA
PINDUODUO INC,P1DD34,Comunicaá?o,China
PINNACLE WEST CAPITAL CORP,P1NW34,Holding,EUA
PIONEER NATURAL RESOURCES CO,P1IO34,Exploraá?o de hidrocarbonetos,EUA
PNCFNANCIALˇ,PNCS34,Serviáos Financeirosˇ,EUA
POSCO,P1KX34,Mineraá?o,"Korea, Republic of"
PPG INDUSTRIES INC,P1PG34,Qu°micos,EUA
PPL CORP,P1PL34,Energia,EUA
PRINCIPAL FINANCIAL GROUP INC,P1FG34,Gest?o de Recursos e Investimentos,EUA
PROLOGIS INC,P1LD34,Fundo de investimento imobili†rio,EUA
PRUDENTIAL FINANCIAL INC,P1DT34,Seguros,EUA
PRUDENTIAL PLC,P1UK34,Financeiro,Reino Unido
PT TELEKOMUNIKASI INDONESIA PERSERO TBK,T1LK34,Comunicaá?o,Indonesia
PUBLIC SERVICE ENTERPRISE GROUP INC,P1EG34,Energia,EUA
PUBLIC STORAGE,P1SA34,Fundo de investimento imobili†rio,EUA
PULTEGROUP I,P1HM34,Construá?o,EUA
PVH CORP,P1VH34,Roupas,EUA
QORVO INC,Q1RV34,Semicondutores,EUA
QUALCOMM,QCOM34,Equipamentos de Comunicaá?o,EUA
QUANTA SERVICES INC,Q1UA34,Serviáos,EUA
QUEST DIAGNOSTICS INC,Q1UE34,Laborat¢rios cl°nicos,EUA
RALPH LAUREN CORP,R1LC34,Roupas e acess¢rios,EUA
RAYMOND JAMES FINANCIAL INC,R1JF34,Serviáos Financeirosˇ,EUA
RD SHELL,RDSA34,"Petr¢leo, G†s e Biocombust°veis",Holanda
REALTY INCOME CORP,R1IN34,Fundo de investimento imobili†rio,EUA
REGENCY CENTERS CORP,R1EG34,Fundo de investimento imobili†rio,EUA
REGENERON PH,REGN34,ComÇrcio ? Produtos e serviáos farmacàuticosˇ,EUA
REGIONS FINA,R1FC34,Instituiá?o Financeira,EUA
RELX PLC,R1EL34,Serviáos comerciais,Reino Unido
REPUBLIC SERVICES INC,R1SG34,Serviáos,EUA
RESMED INC,R1MD34,Sa£de,EUA
RIO TINTO,RIOT34,Mineraá?o,Reino Unido
ROBERT HALF INTERNATIONAL INC,R1HI34,Consultoria,EUA
ROCKWELL AUTOMATION INC,R1OK34,Automaá?o industrial,EUA
ROKU INC,R1KU34,Comunicaá?o,EUA
ROLLINS INC,R1OL34,Serviáos,EUA
ROPER TECHNOLOGIES INC,R1OP34,Industria diversificada,EUA
ROSS STORES,ROST34,"Tecidos, Vestu†rio e Caláados",EUA
ROYAL CARIBBEAN CRUISES LTD,R1CL34,Cruzeiros,EUA
ROYAL DUTCH SHELL PLC,RDSA35,Energia,Holanda
RYANAIR HOLDINGS PLC,R1YA34,Aviaá?o,Ireland
S&P GLOBALˇ,SPGI34,Serviáos Financeirosˇ,EUA
SALESFORCE,SSFO34,Programas e Serviáos,EUA
SANTANDER,BCSA34,Instituiá?o Financeira,Espanha
SAP SE,SAPP34,Softwares,Alemanha
SAREPTA THERAPEUTICS INC,S1RP34,Farmacàutico,EUA
SBA COMMUNICATIONS CORP,S1BA34,Tecnologia,EUA
SCHWAB,SCHW34,Serviáos Financeirosˇ,EUA
SEAGATE TECH,S1TX34,Tecnologia,EUA
SEALED AIR CORP,S1EA34,Embalagens,EUA
SEATTLE GENETICS INC,S1GE34,Farmacàutico,EUA
SEMPRA ENERGY,S1RE34,Energia,EUA
SERVICENOW INC,N1OW34,Tecnologia,EUA
SIBANYE STILLWATER LTD,S1BS34,Mineraá?o,South Africa
SIGNATURE BK,SBNY34,Serviáos Financeirosˇ,EUA
SIMON PROP,SIMN34,Serviáos Financeirosˇ,EUA
SIRIUS XM HD,SRXM34,Comunicaá?oˇ,EUA
SK TELECOM CO LTD,S1KM34,Comunicaá?o,Coreia
SKYWORKS SOLUTIONS INC,S1SL34,Semicondutores,EUA
SL GREEN REALTY CORP,S1LG34,Fundo de investimento imobili†rio,EUA
SMITH & NEPHEW PLC,S1NN34,Farmacàutico,Reino Unido
SNAP-ON INC,S1NA34,Ferramentas,EUA
SONY CORP,SNEC34,Eletroeletrìnico,Jap?o
SOUTHWEST AIRLINES CO,S1OU34,Companhia AÇrea,EUA
SPLUNK INC,S1PL34,Tecnologia,EUA
SPOTIFY TECHNOLOGY SA,S1PO34,Tecnologia,EUA
SS&C TECHNOLOGIES HOLDINGS INC,S1SN34,Tecnologia,EUA
STANLEY BLACK & DECKER INC,S1WK34,Ferramentas,EUA
STATE STREET,S1TT34,Instituiá?o Financeira,EUA
STERIS PLC,S1TE34,Farmacàutico,EUA
STERLING BNC,SLBC34,Serviáos Financeirosˇ,EUA
STMICROEL,STMN34,Eletroeletrìnico,Suiáa
STRYKER CORP,S1YK34,S†ude,EUA
SUMITOMO MITSUI FINANCIAL GROUP INC,S1MF34,Financeiro,Japan
SVB FINANCIAL GROUP,S1IV34,Instituiá?o Financeira,EUA
SYMANTEC COR,S1YM34,Tencologia,EUA
SYNCHRONY FI,S1YF34,Instituiá?o Financeira,EUA
SYNOPSYS INC,S1NP34,Tecnologia,EUA
SYSCO CORP,S1YY34,Alimentos,EUA
T ROWE PRICE GROUP INC,T1RO34,Gest?o de Recursos e Investimentos,EUA
TAIWANSMFAC,TSMC34,Semicondutores,Taiwan
TAKEDAPH,TAKP34,Farmacàuticos,Jap?o
TAKE-TWO INTERACTIVE SOFTWARE INC,T1TW34,Videogames,EUA
TAL EDUCATION GROUP,T1AL34,Escolas,China
TAPESTRY INC,TPRY34,"ComÇrcio ? Vestu†rio, caláados",EUA
TE CONNECTIVITY LTD,T1EL34,Tecnologia,EUA
TECHNIPFMC PLC,T1EC34,"Petr¢leo, G†s e Biocombust°veis",EUA
TELEFLEX INC,T1FX34,Sa£de,EUA
TELEFONIC,TLNC34,Telecomunicaá?es,Espanha
TENARIS SA,T1SS34,Industrial,Luxembourg
TERNIUMSA,TXSA34,Siderurgia e Metalurgia,Luxemburgo
TESLA MOTORS,TSLA34,Autom¢veis e Motocicletas,EUA
TEVA PHARMACEUTICAL INDUSTRIES LTD,T1EV34,Farmacàutico,Israel
TEXTRON INC,T1XT34,Industria diversificada,EUA
THE JM SMUCKER CO,S1JM34,Alimentos e bebidas,EUA
THE PROGRESSIVE CORP,P1GR34,Seguros,EUA
THE SHERWIN-WILLIAMS CO,S1HW34,Tintas,EUA
THE SOUTHERN,T1SO34,Energia,EUA
THERMFISCHER,TMOS34,"Serviáos MÇdico ? Hospitalares, An†lises e Diagn¢sticos",EUA
TJX COMPANIE,TJXC34,ComÇrcio ? Lojas de departamentoˇ,EUA
T-MOBILE USˇ,T1MU34,Telecomunicaá?es,EUA
TOYOTAMO,TMCO34,Autom¢veis,Jap?o
TRACTOR SUPPLY CO,T1SC34,Varejo,EUA
TRANSDIGM GROUP INC,T1DG34,Componentes aeroespaciais,EUA
TRANSOCEAN,RIGG34,"Petr¢leo, G†s e Biocombust°veis",EUA
TRAVELERS,TRVC34,Seguradoras,EUA
TRIPADVISOR INC,T1RI34,Turismo,EUA
TWILIO INC,T1WL34,Tecnologia,EUA
TWITTER,TWTR34,Tecnologia,EUA
TYSON FOODS,TSNF34,ComÇrcio ? Alimentosˇ,EUA
UBER TECH IN,U1BE34,Transporte,EUA
UBS GROUP,UBSG34,Intermedi†rios Financeiros,EUA
UDR INC,U1DR34,Fundo de investimento imobili†rio,EUA
ULTA BEAUTY INC,U1LT34,Varejo de cosmÇticosˇ,EUA
UNDER ARMOUR INC,U1AI34,Roupas e acess¢rios,EUA
UNILEVER,ULEV34,Cuidados Pessoais,Reino Unido
UNILEVER NV,U1NL34,CosmÇticos,Reino Unido
UNIONPACIFIC,UPAC34,Industrial,EUA
UNITED AIRLI,U1AL34,Companhia AÇrea,EUA
UNITED RENTALS INC,U1RI34,Aluguel de equipamentos,EUA
UNITEDHEALTH,UNHH34,ComÇrcio ? Produtos e serviáos farmacàuticosˇ,EUA
UNIVERSAL HEALTH SERVICES INC,U1HS34,Sa£de,EUA
UNUM GROUP,U1NM34,Seguros,EUA
UPS,UPSS34,Serviáos de Entregas,EUA
US STEEL,USSX34,Siderurgia e Metalurgia,EUA
VALERO ENER,VLOE34,"Petr¢leo, G†s e Biocombust°veis",EUA
VALLEY NTION,VLYB34,Serviáos Financeirosˇ,EUA
VARIAN MEDICAL SYSTEMS INC,V1AR34,Tecnologia,EUA
VENTAS INC,V1TA34,Fundo de investimento imobili†rio,EUA
VERISIGN INC,VRSN34,Comunicaá?oˇ,EUA
VERISK ANALYTICS INC,V1RS34,Consultoria,EUA
VERIZON,VERZ34,Telecomunicaá?es,EUA
VERTEX PHARM,VRTX34,ComÇrcio ? Produtos farmacàuticosˇ,EUA
VF CORP,VFCO34,ComÇrcio ? Vestu†rioˇ,EUA
VIPSHOP HOLDINGS LTD,V1IP34,E-Commerce,China
VODAFONE GROUP PUBLIC LTD COMPANY,V1OD34,Comunicaá?o,Reino Unido
VORNADO REALTY TRUST,V1NO34,Fundo de investimento imobili†rio,EUA
VULCAN MATERIALS CO,V1MC34,Construá?o,EUA
WABTEC CORP,W1AB34,Ind£stria ferrovi†ria,EUA
WAL MART,WALM34,Varejo amplo,EUA
WALGREENS,WGBA34,"Comercio ? FarmacÇutico, diversos",EUA
WARNER MUSIC GROUP CORPORATION,W1MG34,Gravadora,EUA
WASTE MANAG,W1MC34,Gerenciamento de Res°duos,EUA
WATERS CORP,WATC34,Industrial,EUA
WATSCO INC,W1SO34,Refrigeraá?o,EUA
WEC ENERGY GROUP INC,W1EC34,Energia,EUA
WEIBO CORP,W1BO34,Comunicaá?o,China
WELLS FARGO,WFCO34,Bancos,EUA
WELLTOWER INC,W1EL34,Fundo de investimento imobili†rio,EUA
WESTERN BCOR,WABC34,Serviáos Financeirosˇ,EUA
WESTERN DIG,W1DC34,Tecnologia,EUA
WESTERNUNION,WUNI34,Serviáos Financeirosˇ,EUA
WESTPAC BANKING CORP,W1BK34,Financeiro,Australia
WESTROCK CO,W1RK34,Embalagens,EUA
WEYERHAEUSER CO,W1YC34,Madeira,EUA
WHIRLPOOL CORP,W1HR34,EletrodomÇsticos,EUA
WILLIAMS COS,W1MB34,Energia,EUA
WILLIS TOWERS WATSON PLC,W1LT34,Consultoria,EUA
WIX.COM LTD,W1IX34,Comunicaá?o,Israel
WORKDAY INC,W1DA34,Tecnologia,EUA
WPP PLC,W1PP34,Comunicaá?o,Reino Unido
WR BERKLEY CORPORATION,W1RB34,Financeiro,EUA
WW GRAINGER INC,G1WW34,Distribuidora,EUA
WYNN RESORTS,W1YN34,H¢teis,EUA
XCEL ENERGY,X1EL34,Energia,EUA
XILINX INC,X1LN34,Tecnologia,EUA
XYLEM INC,X1YL34,Soluá?es para †gua,EUA
YUM BRANDS,YUMR34,"ComÇrcio ? Alimentaá?o, restaurantes",EUA
ZEBRA TECHNOLOGIES CORPORATION,Z1BR34,Tecnologia,EUA
ZIMMER BIOMET HOLDINGS INC,Z1BH34,Sa£de,EUA
ZIONSBANCORP,Z1IO34,Instituiá?o Financeira,EUA
ZOETIS INC,Z1TS34,Medicamentos,EUA
ZOOM VIDEO COMMUNICATIONS INC,Z1OM34,Tecnologia,EUA
ZTO EXPRESS CAYMAN INC,Z1TO34,Delivery,China
ACCENTURE,ACNB34,Tecnologia,EUA
AIG GROUP,AIGB34,Seguros,EUA
AMERICAN EXP,AXPB34,CrÇdito ao Consumidor,EUA
ATT INC,ATTB34,Telecomunicaá?es,EUA
BERKSHIRE,BERK34,Serviáos de investimentos,EUA
BNY MELLON,BONY34,Serviáos Financeirosˇ,EUA
BOEING,BOEI34,Aeroespacial,EUA
BRISTOLMYERS,BMYB34,Produtos Farmacàuticos,EUA
DUKE ENERGY,DUKB34,Energia ElÇtrica,EUA
DUPONT N INC,DDNB34,Commodities Qu°micas,EUA
FEDEX CORP,FDXB34,Serviáos de Entregas,EUA
FEMSA,FMXB34,Bebidas,MÇxico
GEN DYNAMICS,GDBR34,Ind£stria Aeroespacial e de Defesa,EUA
HONEYWELL,HONB34,Prod. Industrializados Diversos,EUA
HP COMPANY,HPQB34,Hardware para computadores,EUA
IBM,IBMB34,Serviáos de Computaá?o,EUA
JOHNSON & JOHNSON,JNJB34,Produtos Farmacàuticos,EUA
KIMBERLY CL,KMBB34,Consumo,EUA
KRAFT HEINZ,KHCB34,Produtos Aliment°cios,EUA
LOCKHEED,LMTB34,Defesa,EUA
METLIFE INC,METB34,Seguros,EUA
MORGAN STAN,MSBR34,Serviáos de investimentos,EUA
PEPSICO INC,PEPB34,Refrigerantes,EUA
STARBUCKS,SBUB34,Produtos Aliment°ciosˇ,EUA
TARGET CORP,TGTB34,Consumo,EUA
TEXAS INC,TEXA34,Tecnologia,EUA
VISA INC,VISA34,Financiamento ao Consumidor,EUA
WALT DISNEY,DISB34,Radiodifus?o e Entretenimento,EUA
XEROX CORP,XRXB34,Equipamentos Eletrìnicos para Escrit¢rios,EUA
AMAZON,AMZO34,Cat†logos e entregas domiciliares,EUA
CATERPILLAR,CATP34,Caminh?es e Ve°culos Comerciais,EUA
CHEVRON,CHVX34,Combust°vel & G†s Integrados,EUA
COCA COLA,COCA34,Refrigerantes,EUA
COLGATE,COLG34,Produtos Pessoais,EUA
MASTERCARD,MSCD34,Financiamento ao Consumidor,EUA
NIKE,NIKE34,Caláados,EUA
ORACLE,ORCL34,Software aplicativo,EUA
RAYTHEON TECH,RYTT34,Industrial,EUA
SCHLUMBERGER,SLBG34,Equipamentos e Serviáos de Combust°vel,EUA
TIFFANY,TIFF34,Joalheria,EUA
US BANCORPˇ,USBC34,Instituiá?o Financeira,EUA
